headline,date,doc_type,material_type,section,abstract,first_paragraph,keywords,web_url
"Patrick Reed Leads the Masters, With Rory McIlroy’s Grand Slam Hopes Lurking",2018-04-08,article,News,,"McIlroy posted a seven-under-par 65 on Saturday and ended the third round three strokes behind Reed, who has yet to win a major.","AUGUSTA, Ga. — One round now separates Rory McIlroy from one of golf’s most elite constituencies. If on Sunday he can reel in Patrick Reed, the Masters’ 54-hole leader, McIlroy will become the sixth man — and the first since Tiger Woods in 2000 — to complete a career grand slam.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/07/sports/golf/masters-patrick-reed-rory-mcilroy.html
"Rickie Fowler, Within Reach of a Masters Title, Tries to Keep the Past at Bay",2018-04-08,article,News,,"Less flamboyant, but no less determined, Fowler will seek his first victory in a major tournament on Sunday. He has been close before.","AUGUSTA, Ga. — Rickie Fowler is 29 years old now. The hair is shorter; the golf hat has shrunk; the wardrobe has lost its flamboyance.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/07/sports/golf/rickie-fowler-masters.html
Patrick Reed Wins the Masters in a Breakthrough Performance,2018-04-08,article,News,,"Reed, 27, had never won a major before, and he had never finished in the top 20 at the Masters.","AUGUSTA, Ga. — Sunday at the Masters began with Patrick Reed and Rory McIlroy in a final-round pairing that resurrected memories of the 2016 Ryder Cup at Hazeltine National Golf Club, where Reed got the best of McIlroy in a riveting singles match.","['Masters Golf Tournament', 'Golf']",https://www.nytimes.com/2018/04/08/sports/golf/patrick-reed-masters-.html
"Jordan Spieth Misses a Victory, but Gains Another Masters Memory",2018-04-09,article,News,,"Spieth’s furious charge came up short on Sunday, but he has established himself as a perennial story line at Augusta National.","AUGUSTA, Ga. — When Jordan Spieth’s birdie putt on the 16th green dropped into the hole just after 5:40 p.m. on another stirring Masters Sunday, Spieth had made up the nine strokes that formed the gap between him and Patrick Reed at the beginning of the day.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/08/sports/golf/jordan-spieth-misses-a-victory-but-gains-another-masters-memory.html
Masters Tournament Will Allow Limited Number of Fans to Attend,2021-01-12,article,News,,"After hosting the 2020 event without spectators in November, six months delayed from its usual spring date, Augusta National Golf Club announced it would restore some tradition.","This year’s Masters tournament in April will be attended by a limited number of spectators, the Augusta National Golf Club announced Tuesday. The club, which prohibited fans from the event two months ago, did not specify how many fans would be allowed in 2021, adding that spectators would be permitted if, “it can be done safely.”","['Golf', 'Masters Golf Tournament', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2021/01/12/sports/golf/masters-patrons-augusta-national.html
"Four Fresh Major Champions, but Still No Golf Savior",2016-08-02,article,News,,"Four first-time major champions last combined to capture golf’s top titles in 2011, perhaps the start of the post-Tiger Woods era. But all the fresh faces have failed to command the sport.","Spotted in the gallery at the P.G.A. Championship this weekend was a spectator wearing a bright red T-shirt — as boldly red as Donald J. Trump’s favorite baseball cap. Across the chest of the T-shirt were four words, written in white capital letters: “Make Tiger Great Again.”","['Golf', 'PGA Championship', 'United States Open (Golf)', 'Masters Golf Tournament', 'British Open (Golf)']",https://www.nytimes.com/2016/08/02/sports/golf/year-ushers-in-four-first-time-major-winners-but-still-no-savior-for-golf.html
‘A Steel-Nerved Master’: How We Introduced Arnold Palmer in 1958,2016-09-26,article,News,,"After winning The Masters, Palmer was featured in a “Man in the News” column in The New York Times.","Arnold Palmer won the first of his seven major championships at the Masters in 1958. Here is an excerpt from Man in the News column in The New York Times on April 7, 1958. ","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/09/27/sports/arnold-palmer-introduction.html
Tiger Woods Out of Surgery and ‘Recovering’ After Serious Car Crash,2021-02-24,article,News,,"The greatest golfer of his generation sustained leg injuries in the accident that, along with a recent back surgery, could raise questions about the future of his career.","For Tiger Woods, it was a resounding comeback. After a back injury that had seemed destined to end his career, he won the Masters Tournament in 2019, a thrilling return to form that captivated the nation.","['Golf', 'Traffic Accidents and Safety', 'Masters Golf Tournament']",https://www.nytimes.com/2021/02/23/sports/golf/tiger-woods-accident.html
What to Know About Tiger Woods’s Car Crash and Condition,2021-02-24,article,News,,"Woods is recovering from “serious” leg injuries, which are not believed to be life-threatening. The authorities are investigating the crash solely as an accident, not as a criminal case.","Tiger Woods was rushed to a hospital with serious leg injuries on Tuesday morning in Los Angeles County after he was involved in a single-car crash in a hilly area known for car crashes. After emergency surgery on Tuesday, Woods underwent additional procedures on Friday and was said to be “recovering and in good spirits,” according to a statement.","['Traffic Accidents and Safety', 'Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2021/02/23/sports/golf/tiger-woods-car-accident.html
Golf Without Tiger Woods? His Fellow Players Can Barely Imagine,2021-02-25,article,News,,"Woods, 45, has been sidelined before as he recovered from various ailments. But this time, after a car crash that left him with serious leg injuries, feels different.","BRADENTON, Fla. — As a golf prodigy growing up in Northern Ireland, Rory McIlroy not only yearned to compete against his idol Tiger Woods but also hoped to become his good friend. Both dreams came true.","['Golf', 'PGA Championship', 'Masters Golf Tournament', 'Traffic Accidents and Safety']",https://www.nytimes.com/2021/02/24/sports/tiger-woods-golf-pga-crash.html
Tiger Woods and Another Terrible Turn of Fate,2021-02-25,article,News,,"It is easy to cling to memories of Tiger Woods at his peaks, but his vulnerability tells as much, if not more, about his powerful hold on sport and culture.","The sight of his demolished S.U.V., sitting forlornly on a grassy Southern California hillside, belied the image of Tiger Woods as an invincible force marching across the golf course to certain, thrilling triumph.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2021/02/25/sports/golf/tiger-woods-accident.html
"For a Golf Tinkerer, a Strategy Just Crazy Enough to Work",2016-04-04,article,News,,"Bryson DeChambeau, a 22-year-old amateur, will play the Masters with equipment that some observers find baffling: His irons and wedges are the same length and weight.","AUGUSTA, Ga. — How to improve one’s game? It is the eternal question for golfers, as predictable as their next shank. When planted in Bryson DeChambeau’s fertile mind, the query flourished like the grape vines climbing vines from the rich soil of the San Joaquin Valley in California, where he grew into one of the world’s top amateurs.","['Golf', 'Sporting Goods and Equipment', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/05/sports/golf/for-a-golf-tinkerer-a-strategy-just-crazy-enough-to-work.html
"A Spot at Augusta, Finally, and a Comrade in Trump",2016-04-05,article,News,,"After shooting a sizzling round in March with Donald J. Trump, who helped finance his career, Jim Herman earned his first PGA Tour win and a berth in his first Masters.","AUGUSTA, Ga. — Donald J. Trump jumped at the opportunity to make Jim Herman’s game great. Trump, the front-runner for the Republican presidential nomination, peeled away from the campaign trail last month to play a round of golf with Herman, whose PGA Tour career he has helped finance.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/05/sports/golf/donald-trump-jim-herman-masters-roundup.html
Jason Day’s Long Rise to No. 1 Began With a Mother’s Save,2016-04-05,article,News,,"Day’s mother, Dening, sent him to a boarding school as a teenager to save him from the streets, after life with an abusive, controlling father.","BRISBANE, Australia — Jason Day’s rise to No. 1 in the world began with a rusted golf club retrieved from a Queensland junkyard.","['Golf', 'Alcohol Abuse', 'Child Abuse and Neglect', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/06/sports/golf/jason-day-masters.html
"Jordan Spieth, Humbly, Gets Ready to Defend Masters Crown",2016-04-06,article,News,,"Spieth, who won the first two majors of 2015 and ended the year by buying a sprawling estate, is still tiptoeing around Augusta.","AUGUSTA, Ga. — The question posed Tuesday to the reigning Masters champion was about winning four majors in the same year. Is a men’s calendar Grand Slam achievable? With his response, Jordan Spieth humorously addressed how his life changed in 2015 when he became only the second golfer in the last 43 years to win the first two legs.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/06/sports/golf/jordan-spieth-humbly-gets-ready-to-defend-masters-crown.html
"For Masters, Waiting Is the Hardest Part",2016-04-06,article,News,,"The first shot of this year’s Masters will be struck 235 days after the last putt of the P.G.A. Championship, rattling some players’ nerves.","AUGUSTA, Ga. — Adam Scott had to go two extra holes of sudden death with Ángel Cabrera to become the first Australian to win the Masters. Scott said he was less nervous before the start of that 2013 playoff than he will be Thursday when he stands at the No. 1 tee box for the first drive of his 15th Masters.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/06/sports/golf/for-masters-waiting-is-the-hardest-part.html
Augusta Presents a Steep Challenge (So Wear the Right Shoes),2016-04-06,article,News,,"Traction turns out to be vital even on a dry day watching the Masters, with Augusta National’s lush terrain more sweeping than meets a spectator’s eye.","AUGUSTA, Ga. — Note to self and all other Masters rookies: Do not wear loafers to Augusta National.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/07/sports/for-a-first-time-visitor-at-the-masters-the-hills-come-alive.html
"Tiger Woods Is Missing, but So Is Dominance in Golf",2016-04-06,article,News,,"As Woods misses the Masters for only the second time in 22 years, today’s top golfers can only marvel at how long he was able to rule the sport.","AUGUSTA, Ga. — Four of the six amateurs in the Masters field this week were born after Tiger Woods made his Augusta National debut in 1995. They grew up in a world in which Woods’s contending in a major was a given, like spring following winter.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/07/sports/golf/tiger-woods-is-missing-masters.html
The Achilles’ Heel of Too Many Golfers: A Bad Back,2016-04-07,article,News,,"Phil Mickelson says proper technique can avoid injuries; Bryson DeChambeau, an amateur, believes in same-length irons.","AUGUSTA, Ga. — In his 24th Masters, Phil Mickelson is an evangelist spreading the gospel according to Ernest Jones, whose 1937 book, “Swing the Clubhead Method,” is Mickelson’s sacred text. He teed off Thursday at Augusta National Golf Club with a fourth green jacket in his sights and a message to spread about longevity in the sport.","['Golf', 'Sports Injuries', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/08/sports/golf/the-achilles-heel-of-too-many-golfers-a-bad-back.html
"9 Strokes, Then What? For Ernie Els, On to 2nd Hole",2016-04-07,article,News,,Els’s 9 was the highest score on the first hole in the 80-year history of the Masters.,"AUGUSTA, Ga. — The first hole at Augusta National, a par 4 measuring 445 yards, requires players to hit from an elevated tee to a fairway that breaks right to left, then hit their second shots to an elevated green. It calls to mind a roller coaster, and it made a few stomachs drop during the opening round of the Masters.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/08/sports/golf/masters-roundup.html
"Ah, Those Augusta Memories (of 2015): Jordan Spieth Races to Early Lead",2016-04-07,article,News,,"After Arnold Palmer, Jack Nicklaus and Gary Player stirred nostalgia among the fans, Spieth, the defending champion, shot a six-under-par 66 in the first round of the Masters.","AUGUSTA, Ga. — Nostalgia had its moments on the first morning of the Masters on Thursday.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/08/sports/golf/masters-jordan-spieth-jason-day.html
"At Windy Masters, Jordan Spieth Stumbles, and Rory McIlroy Charges In",2016-04-08,article,News,,McIlroy shot a 71 to move into contention for the only major championship he is missing. He is one shot behind Spieth heading into the third round.,"AUGUSTA, Ga. — Reduce this year’s Masters to Jordan Spieth versus Rory McIlroy at your peril.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/09/sports/golf/masters-rory-mcilroy-chases-jordan-spieth.html
Ernie Els Awakens From His First-Round Nightmare at the Masters,2016-04-09,article,News,,"Els took six putts from 3 feet for an opening nine Thursday, but rebounded in a strong round the next day.","AUGUSTA, Ga. — On the practice green before his round on Friday at the Masters, Ernie Els made 25 of 28 putts from inside 9 feet. The last one he struck before making his way to the first tee at Augusta National Golf Club was a 2-footer that dropped in the hole.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/09/sports/ernie-els-awakens-from-his-first-round-nightmare.html
Amateur Champion Brushes Off a Bad End at Masters,2016-04-09,article,News,,"After carding his second consecutive even-par 72, Bryson DeChambeau did not rue the shots that got away.","AUGUSTA, Ga. — Going into the final hole of his second round at the Masters, Bryson DeChambeau, an amateur, was poised to post the lowest round of the day. On 18, he tried a low stinger to keep the ball from getting caught up in the wind and hit over the top of it. His shot landed in a holly bush, and he had to take an unplayable lie, which led to a triple-bogey seven. ","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/09/sports/golf/amateur-champion-bryson-dechambeau-masters.html
At the Masters and Tantalizingly Close to a Coronation,2016-04-09,article,News,,Someone on Sunday will experience the feeling of exiting stage left while his playing competitor basks in the spotlight and takes the final bow.,"AUGUSTA, Ga. — The par-4 closing hole at Augusta National became the Green Quarter-Mile for Brandt Snedeker in 2008. Playing his first Masters as a professional, Snedeker moved into a tie for the lead with his playing competitor, Trevor Immelman, with an eagle on the third hole on the final day.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/10/sports/golf/at-the-masters-and-tantalizingly-close-to-a-coronation.html
Jordan Spieth’s Lead Disappears,2016-04-10,article,News,,"On the final two holes, Spieth hit wayward tee shots at Nos. 17 and 18, and compounded his misery with poor wedges. His lead all but disappeared.","AUGUSTA, Ga. — The wind played through the Masters on Saturday, blowing sand out of the bunkers and debris onto the greens. It blew the ball of one competitor, Billy Horschel, off the 15th green and into a water hazard, costing him a penalty stroke. The wind was so fierce, it blew Jordan Spieth’s Masters crown askew.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/10/sports/golf/jordan-spieth-leans-on-short-game-to-hold-lead-at-masters.html
"At Augusta and Wimbledon, Similar Auras of Tradition",2016-04-10,article,News,,"Martin Blackman, a United States Tennis Association official, made his inaugural visit to the Masters. The sports may differ, but the clubs are similarly exclusive.","AUGUSTA, Ga. — Martin Blackman, head of player development for the United States Tennis Association, made his inaugural visit to the Masters on Saturday.","['Golf', 'Tennis', 'Masters Golf Tournament', 'Wimbledon Tennis Tournament']",https://www.nytimes.com/2016/04/10/sports/golf/at-augusta-and-wimbledon-similar-auras-of-tradition.html
Europeans’ Masters Title Drought Looms Large in Rory McIlroy’s 77,2016-04-10,article,News,,European golfers have continued to dominate the United States in the Ryder Cup and have won the other three major tournaments repeatedly. But the Masters has remained elusive.,"AUGUSTA, Ga. — The photos of past Masters champions are on a wall just inside the clubhouse entrance at Augusta National, and at this stage, you have to do some searching to find the last European champion.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/10/sports/golf/masters-title-drought-of-europeans-looms-large-in-rory-mcilroys-77.html
Danny Willett Wins Masters as Jordan Spieth Folds,2016-04-10,article,News,,"Willett, a 28-year-old Englishman, took advantage of missteps by Spieth, who would have been the first player to repeat as champion since Tiger Woods in 2002.","AUGUSTA, Ga. — After 63 holes of the 80th Masters, Jordan Spieth was five strokes clear of the field. The last nine holes at Augusta National lay before him like a lush green carpet in a coronation ceremony.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/11/sports/golf/danny-willett-wins-masters-tournament-over-jordan-spieth.html
"An Intense Competition at the 18th, No Golfers Involved",2016-04-11,article,News,,Masters patrons scramble — no running! — for places to set up chairs long before the action reaches the final hole.,"AUGUSTA, Ga. — It was 8 a.m. on a Sunday at the 18th green. The leader of the Masters, Jordan Spieth, was not scheduled to tee off for nearly seven hours and was not expected to complete his round for more than 11 hours.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/11/sports/golf/an-intense-competition-at-masters.html
Englishman Rises in the Late-Afternoon Augusta Sun,2016-04-11,article,News,,Danny Willett’s surprising win was not quite as big a leap as casual golf fans might suspect: He arrived at the Masters ranked 12th in the world.,"AUGUSTA, Ga. — It had been two weeks of joyful, life-changing whirlwind and with one short putt left to finish off his sparkling 67 in the late Sunday sunshine, Danny Willett removed the white sweater he had worn all day to reveal a green shirt.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/11/sports/golf/danny-willett-englishman-rises-in-augusta-sun.html
Jordan Spieth Absorbs ‘a Tough One’ With Dignity,2016-04-11,article,News,,"As the defending champion at the Masters, Spieth had to brave the trophy and jacket ceremonies and then answer questions, right after his collapse allowed Danny Willett to win.","AUGUSTA, Ga. — “More important than golf,” Jordan Spieth said Sunday night as a preamble to publicly congratulating the new Masters champion, Danny Willett. And with those words, Spieth showed that he would live to laugh about his Masters meltdown.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/12/sports/jordan-spieth-masters.html
"A Meltdown, on Deadline: Reporter’s Notebook",2016-04-13,article,News,,Jordan Spieth wasn’t the only one scrambling at the Masters on Sunday.,"Times Insider delivers behind-the-scenes insights into how news, features and opinion come together at The New York Times. In this piece, Karen Crouse, a sportswriter, describes how she scrambled (on deadline) to cover Jordan Spieth’s unexpected meltdown at the Masters.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2016/04/13/insider/a-meltdown-on-deadline-reporters-notebook.html
"For Jordan Spieth, a Four-Week Break Seems to Heal All Wounds",2016-05-12,article,News,,"For his first 18-hole round in front of a paying public since his meltdown at the Masters, Spieth seemed to be in good spirits — and in good form.","PONTE VEDRA BEACH, Fla. — Jordan Spieth was standing over his ball on the 10th tee at T.P.C. Sawgrass when Rickie Fowler fished a bottle of water from a cooler and tossed it over Spieth’s head to Justin Thomas on the opposite side of the tee box. Spieth did not flinch.","['Golf', 'Masters Golf Tournament', 'Players Championship (Golf)']",https://www.nytimes.com/2016/05/12/sports/golf/for-jordan-spieth-a-four-week-break-players-championship.html
"20 Years Ago, Tiger Woods Made His Grand Entrance at the Masters",2017-04-03,article,News,,"In 1997, everyone became a footnote to a player whose four victories in his first full season on the PGA Tour included a record win at the Masters.","Gabriel Hjertstedt made history as a rookie on the PGA Tour, becoming the first Swede to win a tournament. In any other season, he would have stood out among his fellow first-year players. But it was 1997, when everyone — first-year players and veterans alike — became a footnote to Tiger Woods, whose four victories in his first full season as a professional included his record 12-stroke rout at the Masters.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/03/sports/golf/20-years-ago-tiger-woods-made-his-grand-entrance.html
Rory McIlroy on Playing With Trump Again: ‘I’d Think Twice About It’,2017-04-05,article,News,,"McIlroy, who needs a Masters title to complete a career Grand Slam, found himself answering questions about playing golf with President Trump.","AUGUSTA, Ga. — It was so much easier for Rory McIlroy eight years ago when he first came to the Masters tournament as nothing more than a winsome 19-year-old, curly-headed wunderkind. Back then, it would have been almost inconceivable that his choice of golfing partners would ignite an international political firestorm.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/04/sports/golf/masters-rory-mcilroy.html
Jason Day Enters Masters ‘a Little Bit Unprepared’ but With a Clearer Head,2017-04-05,article,News,,"Day, a former No. 1 player who has had to deal with a back injury and his mother’s illness, has few external expectations this year at Augusta.","AUGUSTA, Ga. — The beast that is the modern news cycle — the one that demands, What have you done for us in the last hour? — had taken its focus off Jason Day and shifted it to the resplendent rookie Jon Rahm and Dustin Johnson, the world No. 1 and winner of his last three tournaments.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/05/sports/golf/masters-jason-day-mother-cancer.html
"Dustin Johnson Hurts His Back in a Fall, but Still Hopes to Play",2017-04-05,article,News,,"The world’s top-ranked golfer slipped on a set of stairs in the house he is renting for the Masters. He landed “very hard” on his back, his agent said.","AUGUSTA, Ga. — Top-ranked Dustin Johnson, who has won his last three tournaments, slipped Wednesday afternoon on a set of stairs in the rental house where he is staying and hurt his back, his agent, David Winkle, confirmed.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/05/sports/golf/masters-notebook-dustin-johnson-augusta-national.html
It Takes a Small Army to Equal Arnie,2017-04-06,article,News,,There will never be another Arnold Palmer. But many of his endearing qualities can be found in the men competing at the Masters. Together they form golf’s composite King.,"The first major event after a patriarch’s passing can be rough on his family. As the golf community gathers at Augusta National Golf Club for the Masters this week, Arnold Palmer’s absence from the tournament he dearly loved and won four times will be acutely felt.","['Masters Golf Tournament', 'Golf']",https://www.nytimes.com/2017/04/06/sports/golf/masters-arnold-palmer.html
Arnold Palmer’s Absence Is Felt at Augusta’s First Tee,2017-04-06,article,News,,"For the first time since 2006, Palmer was not alongside Jack Nicklaus and Gary Player for the ceremonial tee shots at Augusta National Golf Club.","AUGUSTA, Ga. — The wind was stinging their faces, but that was not why Jack Nicklaus and Gary Player had tears in their eyes as they prepared for their ceremonial tee shots at the Masters.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/06/sports/golf/masters-2017-first-round-notebook.html
Dustin Johnson Withdraws From the Masters With a Back Injury,2017-04-06,article,News,,"Johnson, the world’s top-ranked golfer, sustained a lower back injury in a fall down the stairs of his rental home near the course Wednesday.","AUGUSTA, Ga. — The last player to win the Masters while ranked No. 1 in the world was Tiger Woods in 2005. That streak is safe for at least another year after Dustin Johnson withdrew on Thursday because of a lower back injury he sustained in a fall down the stairs of his rental home near the course on Wednesday afternoon.","['Golf', 'Masters Golf Tournament', 'Sports Injuries', 'Falls']",https://www.nytimes.com/2017/04/06/sports/golf/masters-dustin-johnson-withdraws.html
Jordan Spieth Discovers That Disaster Always Lurks at the Masters,2017-04-07,article,News,,"Spieth, done in by a quadruple bogey on the 12th hole in the final round at Augusta last year, parred the hole Thursday, but had a quadruple bogey on the 15th.","AUGUSTA, Ga. — Jordan Spieth may have wadded up the quadruple-bogey 7 he made on the 12th hole in the final round of last year’s Masters and pulverized it in his mental trash compactor. But the crowd that blanketed the hill beside Nos. 11 and 12 as Spieth’s group came into view Thursday afternoon had tucked away the memory and carried it through the gates with them.",['Masters Golf Tournament'],https://www.nytimes.com/2017/04/06/sports/golf/jordan-spieth-the-masters.html
Charley Hoffman Grabs Four-Stroke First-Round Lead at Windy Augusta,2017-04-07,article,News,,"As gusts of up to 40 miles per hour bedeviled most players, Hoffman shot a remarkable seven-under-par 65, birdieing nine holes, including all four par-3s.","AUGUSTA, Ga. — Fred Couples, playing in his 32nd Masters this year, said he had never seen wind so fierce at Augusta National Golf Club.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/06/sports/golf/charley-hoffman-masters-tournament.html
Sergio García Shares Masters Lead After Scoring Mishap,2017-04-07,article,News,,"For part of Friday’s second round, García mysteriously gained two strokes, but he is tied with Rickie Fowler, Charley Hoffman and Thomas Pieters at four-under.","AUGUSTA, Ga. — For nearly 20 years, Augusta National Golf Club has been Sergio García’s personal torture chamber. As has been his wont, García has persistently lamented his fate on the grounds, as if he were cursed.","['Masters Golf Tournament', 'Golf']",https://www.nytimes.com/2017/04/07/sports/golf/masters-second-round.html
"Chasing Golf History, Rory McIlroy Struggles With an Elusive Quarry",2017-04-08,article,News,,"Only five men have won a career Grand Slam. To become the sixth, McIlroy must figure out how to ignore the distraction and concentrate on winning the Masters.","AUGUSTA, Ga. — For Rory McIlroy, the Masters title is like a feather. Every time he has tried to grasp it, the energy from his effort has pushed it out of his reach.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/07/sports/golf/rory-mcilroy-masters-career-grand-slam.html
Phil Mickelson to Join Jordan Spieth in a Marquee Pairing,2017-04-08,article,News,,"Mickelson and Spieth finished the second round of the Masters tied, so they will tee off together in a pairing that is sure to attract a following.","AUGUSTA, Ga. — At 46, Phil Mickelson is twice as old as Jordan Spieth is. But they were equals on the Masters leaderboard Friday, tied at even par after Mickelson carded a 73 and Spieth a 69 on another windy day at Augusta National.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/07/sports/golf/masters-phil-mickelson-jordan-spieth.html
A Note to Tiger Woods: Victory Isn’t the Only Path to Joy,2017-04-08,article,News,,"Woods, a four-time Masters champion who has been battling back issues, could learn from an example set by Arnold Palmer.","AUGUSTA, Ga. — Dear Tiger,","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/08/sports/golf/tiger-woods-arnold-palmer-masters.html
Justin Rose and Sergio García Top Leaderboard at Masters,2017-04-09,article,News,,"Rose and García stand at six under par after 54 holes at Augusta National. Rose shot a 67 on Saturday, while Garcia carded a 70.","AUGUSTA, Ga. — The 81st Masters tournament is being played in the memory of Arnold Palmer, but it could be dedicated to spine specialists.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/08/sports/golf/masters-third-round.html
Jordan Spieth Returns to Contention by Playing ‘Without Fear’,2017-04-09,article,News,,Spieth trailed by 10 strokes after the first round but has used an aggressive approach to reduce that deficit to two entering the final round.,"AUGUSTA, Ga. — Jordan Spieth stood in the woods, his line of sight blocked by a tree and his ball 228 yards from the 13th green.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/08/sports/golf/masters-jordan-spieth.html
Masters 2017: Sergio García Finally Wins First Major Title,2017-04-09,article,News,,"Playing in his 74th major tournament, García, 37, outdueled Justin Rose in a playoff to win the green jacket.","AUGUSTA, Ga. — The Arnold Palmer of Europe was Seve Ballesteros, who was very, very good when he hit his drives straight and even better when they went crooked. In 1980, three months after Sergio García was born, Ballesteros won the first of his two Masters titles.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/09/sports/golf/masters-2017-sergio-garcia-finally-wins-first-major-title.html
Same Old Sergio Writes a New Script,2017-04-10,article,News,,"Sergio García had long felt the disdain of fans put off by his attitude. But with a more mellow approach and an underdog’s charm, he won them over at the Masters.","AUGUSTA, Ga. — Throughout the first nine holes of Sunday’s final round at the Masters, Sergio García was greeted with thunderous applause from the grandstands. Just 15 years ago, when he was perceived as precocious but persnickety, he was ridiculed by crowds at American major golf championships. But now García, 37, was a fan favorite.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/09/sports/golf/masters-sergio-garcia-fans.html
Masters 2017: Europeans Dominated the Leader Board,2017-04-10,article,News,,"Led by Sergio Garcia of Spain, golfers from Europe occupied five of the first eight places.","AUGUSTA, Ga. — The 81st Masters began with a look back at the life and legacy of Arnold Palmer, a four-time champion whose death last September hung over Augusta National like the dark rain clouds that burst and wiped out the par-3 contest. It ended with the sun shining luminously on Europe.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/04/10/sports/masters-2017-augusta-national-sergio-garcia.html
Masters Will Play Without Augusta’s Famed Roars,2020-08-12,article,News,,"Augusta National Golf Club announced Wednesday that this year’s tournament will be played without patrons, making it the last of men’s golf majors to bar spectators.","The Augusta National Golf Club announced Wednesday that the 2020 Masters Tournament, postponed from its traditional April date to Nov. 12 to 15, will be held without patrons or guests in attendance. The decision was a response to the coronavirus pandemic and came after many other fixtures of the men’s professional golf schedule, including last week’s P.G.A. Championship, the first major championship of this unconventional year, previously were conducted without spectators.","['Golf', 'Masters Golf Tournament', 'Coronavirus Reopenings']",https://www.nytimes.com/2020/08/12/sports/golf/masters-no-fans-patrons.html
"Healing Rory McIlroy, and Others, Start Fast in Mexico",2017-03-03,article,News,,"McIlroy, who broke a rib in January and missed four tournaments, carded a 68 and was one stroke off the lead during the first round of a World Golf Championships event.","NAUCALPAN DE JUÁREZ, Mexico — By the time March rolls around, Rory McIlroy is typically weary of questions about the Masters, the last major title he needs to complete a career Grand Slam. In the lead-up to his past two competitive forays to the Masters at Augusta National, McIlroy has endured an endless loop of questions about his preparedness, his confidence and his putting.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/03/02/sports/golf/masters-rory-mcilroy-pga.html
"Masters Favorite? Dustin Johnson, With Plenty of Competition",2017-03-06,article,News,,"With his victory in the World Golf Championships event in Mexico, Johnson emerged with the slight edge, but there are many top challengers.","NAUCALPAN DE JUÁREZ, Mexico — All but one of golf’s leading men assembled for one final casting call to pick a favorite to win the Masters. Given the results of the World Golf Championships event at Club de Golf Chapultepec, Dustin Johnson emerged with the slight edge, but it’s the quality of the ensemble cast that stands out as the PGA Tour heads to Augusta National’s grand stage next month.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2017/03/06/sports/golf/masters-favorite-dustin-johnson.html
